Study,DOI,Citation,Species,BioProject,GEO_series,GEO_sample,SRA_experiment,SRA_runs,Download_URL,Original_sample_id,Undergone_treatment.Contains_transgene.Mutant_phenotype,Cultivar,Growth_medium,Plant_stage,Tissue,Tissue_size,Protoplasting_time,Number_of_cells.loaded,Library_protocol,Spike.in
Wang_et_al_2021,10.1016/j.jgg.2021.06.001,"Wang, Y., Huan, Q., Li, K., & Qian, W. (2021). Single-cell transcriptome atlas of the leaf and root of rice seedlings. Journal of Genetics and Genomics, 48(10), 881–898. https://doi.org/10.1016/j.jgg.2021.06.001",Oryza sativa,PRJCA004855,CRA004082,SAMC350943,CRX235963,"CRR279083, CRR279084, CRR279085, CRR279086","ftp://download.big.ac.cn/gsa/CRA004082/CRR279083/CRR279083.tar, ftp://download.big.ac.cn/gsa/CRA004082/CRR279084/CRR279084.tar, ftp://download.big.ac.cn/gsa/CRA004082/CRR279085/CRR279085.tar, ftp://download.big.ac.cn/gsa/CRA004082/CRR279086/CRR279086.tar",Quality control replicate 2,No,Nipponbare,Kimura B nutrient solution - hydroponics,14 days,Seedling,8 cm shoots + 2 cm roots,2 h,6000,10x Genomics Single Cell 3â€™ Reagent Kit v3,Arabidopsis root cells
Wang_et_al_2021,10.1016/j.jgg.2021.06.001,"Wang, Y., Huan, Q., Li, K., & Qian, W. (2021). Single-cell transcriptome atlas of the leaf and root of rice seedlings. Journal of Genetics and Genomics, 48(10), 881–898. https://doi.org/10.1016/j.jgg.2021.06.001",Oryza sativa,PRJCA004855,CRA004082,SAMC350944,CRX235964,"CRR279087, CRR279088, CRR279089, CRR279090","ftp://download.big.ac.cn/gsa/CRA004082/CRR279087/CRR279087.tar, ftp://download.big.ac.cn/gsa/CRA004082/CRR279088/CRR279088.tar, ftp://download.big.ac.cn/gsa/CRA004082/CRR279089/CRR279089.tar, ftp://download.big.ac.cn/gsa/CRA004082/CRR279090/CRR279090.tar",Leaf-1,No,Nipponbare,Kimura B nutrient solution - hydroponics,14 days,Leaf,8 cm shoots,2 h,10000,10x Genomics Single Cell 3â€™ Reagent Kit v3,N.A
Wang_et_al_2021,10.1016/j.jgg.2021.06.001,"Wang, Y., Huan, Q., Li, K., & Qian, W. (2021). Single-cell transcriptome atlas of the leaf and root of rice seedlings. Journal of Genetics and Genomics, 48(10), 881–898. https://doi.org/10.1016/j.jgg.2021.06.001",Oryza sativa,PRJCA004855,CRA004082,SAMC350945,CRX235965,"CRR279091, CRR279092, CRR279093, CRR279094","ftp://download.big.ac.cn/gsa/CRA004082/CRR279091/CRR279091.tar, ftp://download.big.ac.cn/gsa/CRA004082/CRR279092/CRR279092.tar, ftp://download.big.ac.cn/gsa/CRA004082/CRR279093/CRR279093.tar, ftp://download.big.ac.cn/gsa/CRA004082/CRR279094/CRR279094.tar",Leaf-2,No,Nipponbare,Kimura B nutrient solution - hydroponics,14 days,Leaf,8 cm shoots,2 h,10000,10x Genomics Single Cell 3â€™ Reagent Kit v3,N.A
Wang_et_al_2021,10.1016/j.jgg.2021.06.001,"Wang, Y., Huan, Q., Li, K., & Qian, W. (2021). Single-cell transcriptome atlas of the leaf and root of rice seedlings. Journal of Genetics and Genomics, 48(10), 881–898. https://doi.org/10.1016/j.jgg.2021.06.001",Oryza sativa,PRJCA004855,CRA004082,SAMC350946,CRX235966,"CRR279095, CRR279096, CRR279097, CRR279098","ftp://download.big.ac.cn/gsa/CRA004082/CRR279095/CRR279095.tar, ftp://download.big.ac.cn/gsa/CRA004082/CRR279096/CRR279096.tar, ftp://download.big.ac.cn/gsa/CRA004082/CRR279097/CRR279097.tar, ftp://download.big.ac.cn/gsa/CRA004082/CRR279098/CRR279098.tar",Root-1,No,Nipponbare,Kimura B nutrient solution - hydroponics,14 days,root tip,2 cm roots,2 h,10000,10x Genomics Single Cell 3â€™ Reagent Kit v3,N.A
Wang_et_al_2021,10.1016/j.jgg.2021.06.001,"Wang, Y., Huan, Q., Li, K., & Qian, W. (2021). Single-cell transcriptome atlas of the leaf and root of rice seedlings. Journal of Genetics and Genomics, 48(10), 881–898. https://doi.org/10.1016/j.jgg.2021.06.001",Oryza sativa,PRJCA004855,CRA004082,SAMC350947,CRX235967,"CRR279099, CRR279100, CRR279101, CRR279102","ftp://download.big.ac.cn/gsa/CRA004082/CRR279099/CRR279099.tar, ftp://download.big.ac.cn/gsa/CRA004082/CRR279100/CRR279100.tar, ftp://download.big.ac.cn/gsa/CRA004082/CRR279101/CRR279101.tar, ftp://download.big.ac.cn/gsa/CRA004082/CRR279102/CRR279102.tar",Root-2,No,Nipponbare,Kimura B nutrient solution - hydroponics,14 days,root tip,2 cm roots,2 h,10000,10x Genomics Single Cell 3â€™ Reagent Kit v3,N.A
Wang_et_al_2021,10.1016/j.jgg.2021.06.001,"Wang, Y., Huan, Q., Li, K., & Qian, W. (2021). Single-cell transcriptome atlas of the leaf and root of rice seedlings. Journal of Genetics and Genomics, 48(10), 881–898. https://doi.org/10.1016/j.jgg.2021.06.001",Oryza sativa,PRJCA004855,CRA004082,SAMC350948,CRX235968,"CRR279103, CRR279104, CRR279105, CRR279106","ftp://download.big.ac.cn/gsa/CRA004082/CRR279103/CRR279103.tar, ftp://download.big.ac.cn/gsa/CRA004082/CRR279104/CRR279104.tar, ftp://download.big.ac.cn/gsa/CRA004082/CRR279105/CRR279105.tar, ftp://download.big.ac.cn/gsa/CRA004082/CRR279106/CRR279106.tar",Seedling-1,No,Nipponbare,Kimura B nutrient solution - hydroponics,14 days,Seedling,8 cm shoots + 2 cm roots,2 h,20000,10x Genomics Single Cell 3â€™ Reagent Kit v3,N.A
Wang_et_al_2021,10.1016/j.jgg.2021.06.001,"Wang, Y., Huan, Q., Li, K., & Qian, W. (2021). Single-cell transcriptome atlas of the leaf and root of rice seedlings. Journal of Genetics and Genomics, 48(10), 881–898. https://doi.org/10.1016/j.jgg.2021.06.001",Oryza sativa,PRJCA004855,CRA004082,SAMC350949,CRX235969,"CRR279107, CRR279108, CRR279109, CRR279110","ftp://download.big.ac.cn/gsa/CRA004082/CRR279107/CRR279107.tar, ftp://download.big.ac.cn/gsa/CRA004082/CRR279108/CRR279108.tar, ftp://download.big.ac.cn/gsa/CRA004082/CRR279109/CRR279109.tar, ftp://download.big.ac.cn/gsa/CRA004082/CRR279110/CRR279110.tar",LN-1,Yes,Nipponbare,Kimura B nutrient solution without Ammonium sulphate - hydroponics,14 days,Seedling,8 cm shoots + 2 cm roots,2 h,20000,10x Genomics Single Cell 3â€™ Reagent Kit v3,N.A
Wang_et_al_2021,10.1016/j.jgg.2021.06.001,"Wang, Y., Huan, Q., Li, K., & Qian, W. (2021). Single-cell transcriptome atlas of the leaf and root of rice seedlings. Journal of Genetics and Genomics, 48(10), 881–898. https://doi.org/10.1016/j.jgg.2021.06.001",Oryza sativa,PRJCA004855,CRA004082,SAMC350950,CRX235970,"CRR279111, CRR279112, CRR279113, CRR279114","ftp://download.big.ac.cn/gsa/CRA004082/CRR279111/CRR279111.tar, ftp://download.big.ac.cn/gsa/CRA004082/CRR279112/CRR279112.tar, ftp://download.big.ac.cn/gsa/CRA004082/CRR279113/CRR279113.tar, ftp://download.big.ac.cn/gsa/CRA004082/CRR279114/CRR279114.tar",HS-1,Yes,Nipponbare,Kimura B nutrient solution + 200mM NaCl - hydroponics,14 days,Seedling,8 cm shoots + 2 cm roots,2 h,20000,10x Genomics Single Cell 3â€™ Reagent Kit v3,N.A
Wang_et_al_2021,10.1016/j.jgg.2021.06.001,"Wang, Y., Huan, Q., Li, K., & Qian, W. (2021). Single-cell transcriptome atlas of the leaf and root of rice seedlings. Journal of Genetics and Genomics, 48(10), 881–898. https://doi.org/10.1016/j.jgg.2021.06.001",Oryza sativa,PRJCA004855,CRA004082,SAMC350951,CRX235971,"CRR279115, CRR279116, CRR279117, CRR279118, CRR279119, CRR279120, CRR279121, CRR279122","ftp://download.big.ac.cn/gsa/CRA004082/CRR279115/CRR279115.tar, ftp://download.big.ac.cn/gsa/CRA004082/CRR279116/CRR279116.tar, ftp://download.big.ac.cn/gsa/CRA004082/CRR279117/CRR279117.tar, ftp://download.big.ac.cn/gsa/CRA004082/CRR279118/CRR279118.tar, ftp://download.big.ac.cn/gsa/CRA004082/CRR279119/CRR279119.tar, ftp://download.big.ac.cn/gsa/CRA004082/CRR279120/CRR279120.tar, ftp://download.big.ac.cn/gsa/CRA004082/CRR279121/CRR279121.tar, ftp://download.big.ac.cn/gsa/CRA004082/CRR279122/CRR279122.tar",ID-1,Yes,Nipponbare,Kimura B nutrient solution without Fe-EDTA - hydroponics,14 days,Seedling,8 cm shoots + 2 cm roots,2 h,20000,10x Genomics Single Cell 3â€™ Reagent Kit v3,N.A
Wang_et_al_2021,10.1016/j.jgg.2021.06.001,"Wang, Y., Huan, Q., Li, K., & Qian, W. (2021). Single-cell transcriptome atlas of the leaf and root of rice seedlings. Journal of Genetics and Genomics, 48(10), 881–898. https://doi.org/10.1016/j.jgg.2021.06.001",Oryza sativa,PRJCA004855,CRA004082,SAMC350952,CRX235972,"CRR279123, CRR279124, CRR279125, CRR279126","ftp://download.big.ac.cn/gsa/CRA004082/CRR279123/CRR279123.tar, ftp://download.big.ac.cn/gsa/CRA004082/CRR279124/CRR279124.tar, ftp://download.big.ac.cn/gsa/CRA004082/CRR279125/CRR279125.tar, ftp://download.big.ac.cn/gsa/CRA004082/CRR279126/CRR279126.tar",Seedling-2,No,Nipponbare,Kimura B nutrient solution - hydroponics,14 days,Seedling,8 cm shoots + 2 cm roots,2 h,20000,10x Genomics Single Cell 3â€™ Reagent Kit v3,N.A
Wang_et_al_2021,10.1016/j.jgg.2021.06.001,"Wang, Y., Huan, Q., Li, K., & Qian, W. (2021). Single-cell transcriptome atlas of the leaf and root of rice seedlings. Journal of Genetics and Genomics, 48(10), 881–898. https://doi.org/10.1016/j.jgg.2021.06.001",Oryza sativa,PRJCA004855,CRA004082,SAMC350953,CRX235973,"CRR279127, CRR279128, CRR279129, CRR279130, CRR279131, CRR279132, CRR279133, CRR279134","ftp://download.big.ac.cn/gsa/CRA004082/CRR279127/CRR279127.tar, ftp://download.big.ac.cn/gsa/CRA004082/CRR279128/CRR279128.tar, ftp://download.big.ac.cn/gsa/CRA004082/CRR279129/CRR279129.tar, ftp://download.big.ac.cn/gsa/CRA004082/CRR279130/CRR279130.tar, ftp://download.big.ac.cn/gsa/CRA004082/CRR279131/CRR279131.tar, ftp://download.big.ac.cn/gsa/CRA004082/CRR279132/CRR279132.tar, ftp://download.big.ac.cn/gsa/CRA004082/CRR279133/CRR279133.tar, ftp://download.big.ac.cn/gsa/CRA004082/CRR279134/CRR279134.tar",LN-2,Yes,Nipponbare,Kimura B nutrient solution without Ammonium sulphate - hydroponics,14 days,Seedling,8 cm shoots + 2 cm roots,2 h,20000,10x Genomics Single Cell 3â€™ Reagent Kit v3,N.A
Wang_et_al_2021,10.1016/j.jgg.2021.06.001,"Wang, Y., Huan, Q., Li, K., & Qian, W. (2021). Single-cell transcriptome atlas of the leaf and root of rice seedlings. Journal of Genetics and Genomics, 48(10), 881–898. https://doi.org/10.1016/j.jgg.2021.06.001",Oryza sativa,PRJCA004855,CRA004082,SAMC350954,CRX235974,"CRR279135, CRR279136, CRR279137, CRR279138","ftp://download.big.ac.cn/gsa/CRA004082/CRR279135/CRR279135.tar, ftp://download.big.ac.cn/gsa/CRA004082/CRR279136/CRR279136.tar, ftp://download.big.ac.cn/gsa/CRA004082/CRR279137/CRR279137.tar, ftp://download.big.ac.cn/gsa/CRA004082/CRR279138/CRR279138.tar",HS-2,Yes,Nipponbare,Kimura B nutrient solution + 200mM NaCl - hydroponics,14 days,Seedling,8 cm shoots + 2 cm roots,2 h,20000,10x Genomics Single Cell 3â€™ Reagent Kit v3,N.A
Wang_et_al_2021,10.1016/j.jgg.2021.06.001,"Wang, Y., Huan, Q., Li, K., & Qian, W. (2021). Single-cell transcriptome atlas of the leaf and root of rice seedlings. Journal of Genetics and Genomics, 48(10), 881–898. https://doi.org/10.1016/j.jgg.2021.06.001",Oryza sativa,PRJCA004855,CRA004082,SAMC350955,CRX235975,"CRR279139, CRR279140, CRR279141, CRR279142","ftp://download.big.ac.cn/gsa/CRA004082/CRR279139/CRR279139.tar, ftp://download.big.ac.cn/gsa/CRA004082/CRR279140/CRR279140.tar, ftp://download.big.ac.cn/gsa/CRA004082/CRR279141/CRR279141.tar, ftp://download.big.ac.cn/gsa/CRA004082/CRR279142/CRR279142.tar",ID-2,Yes,Nipponbare,Kimura B nutrient solution without Fe-EDTA - hydroponics,14 days,Seedling,8 cm shoots + 2 cm roots,2 h,20000,10x Genomics Single Cell 3â€™ Reagent Kit v3,N.A
Wang_et_al_2021,10.1016/j.jgg.2021.06.001,"Wang, Y., Huan, Q., Li, K., & Qian, W. (2021). Single-cell transcriptome atlas of the leaf and root of rice seedlings. Journal of Genetics and Genomics, 48(10), 881–898. https://doi.org/10.1016/j.jgg.2021.06.001",Oryza sativa,PRJCA004855,CRA004082,SAMC350956,CRX235976,"CRR279143, CRR279144, CRR279145, CRR279146","ftp://download.big.ac.cn/gsa/CRA004082/CRR279143/CRR279143.tar, ftp://download.big.ac.cn/gsa/CRA004082/CRR279144/CRR279144.tar, ftp://download.big.ac.cn/gsa/CRA004082/CRR279145/CRR279145.tar, ftp://download.big.ac.cn/gsa/CRA004082/CRR279146/CRR279146.tar",Seedling-3,No,Nipponbare,Kimura B nutrient solution - hydroponics,14 days,Seedling,8 cm shoots + 2 cm roots,2 h,20000,10x Genomics Single Cell 3â€™ Reagent Kit v3,N.A
Wang_et_al_2021,10.1016/j.jgg.2021.06.001,"Wang, Y., Huan, Q., Li, K., & Qian, W. (2021). Single-cell transcriptome atlas of the leaf and root of rice seedlings. Journal of Genetics and Genomics, 48(10), 881–898. https://doi.org/10.1016/j.jgg.2021.06.001",Oryza sativa,PRJCA004855,CRA004082,SAMC350957,CRX235977,"CRR279147, CRR279148, CRR279149, CRR279150","ftp://download.big.ac.cn/gsa/CRA004082/CRR279147/CRR279147.tar, ftp://download.big.ac.cn/gsa/CRA004082/CRR279148/CRR279148.tar, ftp://download.big.ac.cn/gsa/CRA004082/CRR279149/CRR279149.tar, ftp://download.big.ac.cn/gsa/CRA004082/CRR279150/CRR279150.tar",LN-3,Yes,Nipponbare,Kimura B nutrient solution without Ammonium sulphate - hydroponics,14 days,Seedling,8 cm shoots + 2 cm roots,2 h,20000,10x Genomics Single Cell 3â€™ Reagent Kit v3,N.A
Wang_et_al_2021,10.1016/j.jgg.2021.06.001,"Wang, Y., Huan, Q., Li, K., & Qian, W. (2021). Single-cell transcriptome atlas of the leaf and root of rice seedlings. Journal of Genetics and Genomics, 48(10), 881–898. https://doi.org/10.1016/j.jgg.2021.06.001",Oryza sativa,PRJCA004855,CRA004082,SAMC350958,CRX235978,"CRR279151, CRR279152, CRR279153, CRR279154","ftp://download.big.ac.cn/gsa/CRA004082/CRR279151/CRR279151.tar, ftp://download.big.ac.cn/gsa/CRA004082/CRR279152/CRR279152.tar, ftp://download.big.ac.cn/gsa/CRA004082/CRR279153/CRR279153.tar, ftp://download.big.ac.cn/gsa/CRA004082/CRR279154/CRR279154.tar",HS-3,Yes,Nipponbare,Kimura B nutrient solution + 200mM NaCl - hydroponics,14 days,Seedling,8 cm shoots + 2 cm roots,2 h,20000,10x Genomics Single Cell 3â€™ Reagent Kit v3,N.A
Wang_et_al_2021,10.1016/j.jgg.2021.06.001,"Wang, Y., Huan, Q., Li, K., & Qian, W. (2021). Single-cell transcriptome atlas of the leaf and root of rice seedlings. Journal of Genetics and Genomics, 48(10), 881–898. https://doi.org/10.1016/j.jgg.2021.06.001",Oryza sativa,PRJCA004855,CRA004082,SAMC350959,CRX235979,"CRR279155, CRR279156, CRR279157, CRR279158","ftp://download.big.ac.cn/gsa/CRA004082/CRR279155/CRR279155.tar, ftp://download.big.ac.cn/gsa/CRA004082/CRR279156/CRR279156.tar, ftp://download.big.ac.cn/gsa/CRA004082/CRR279157/CRR279157.tar, ftp://download.big.ac.cn/gsa/CRA004082/CRR279158/CRR279158.tar",ID-3,Yes,Nipponbare,Kimura B nutrient solution without Fe-EDTA - hydroponics,14 days,Seedling,8 cm shoots + 2 cm roots,2 h,20000,10x Genomics Single Cell 3â€™ Reagent Kit v3,N.A
Wang_et_al_2021,10.1016/j.jgg.2021.06.001,"Wang, Y., Huan, Q., Li, K., & Qian, W. (2021). Single-cell transcriptome atlas of the leaf and root of rice seedlings. Journal of Genetics and Genomics, 48(10), 881–898. https://doi.org/10.1016/j.jgg.2021.06.001",Oryza sativa,PRJCA004855,CRA004082,SAMC350960,CRX235980,"CRR279159, CRR279160, CRR279161, CRR279162","ftp://download.big.ac.cn/gsa/CRA004082/CRR279159/CRR279159.tar, ftp://download.big.ac.cn/gsa/CRA004082/CRR279160/CRR279160.tar, ftp://download.big.ac.cn/gsa/CRA004082/CRR279161/CRR279161.tar, ftp://download.big.ac.cn/gsa/CRA004082/CRR279162/CRR279162.tar",Seedling-4,No,Nipponbare,Kimura B nutrient solution - hydroponics,14 days,Seedling,8 cm shoots + 2 cm roots,2 h,20000,10x Genomics Single Cell 3â€™ Reagent Kit v3,N.A
Wang_et_al_2021,10.1016/j.jgg.2021.06.001,"Wang, Y., Huan, Q., Li, K., & Qian, W. (2021). Single-cell transcriptome atlas of the leaf and root of rice seedlings. Journal of Genetics and Genomics, 48(10), 881–898. https://doi.org/10.1016/j.jgg.2021.06.001",Oryza sativa,PRJCA004855,CRA004082,SAMC350961,CRX235981,"CRR279163, CRR279164, CRR279165, CRR279166","ftp://download.big.ac.cn/gsa/CRA004082/CRR279163/CRR279163.tar, ftp://download.big.ac.cn/gsa/CRA004082/CRR279164/CRR279164.tar, ftp://download.big.ac.cn/gsa/CRA004082/CRR279165/CRR279165.tar, ftp://download.big.ac.cn/gsa/CRA004082/CRR279166/CRR279166.tar",LN-4,Yes,Nipponbare,Kimura B nutrient solution without Ammonium sulphate - hydroponics,14 days,Seedling,8 cm shoots + 2 cm roots,2 h,20000,10x Genomics Single Cell 3â€™ Reagent Kit v3,N.A
Wang_et_al_2021,10.1016/j.jgg.2021.06.001,"Wang, Y., Huan, Q., Li, K., & Qian, W. (2021). Single-cell transcriptome atlas of the leaf and root of rice seedlings. Journal of Genetics and Genomics, 48(10), 881–898. https://doi.org/10.1016/j.jgg.2021.06.001",Oryza sativa,PRJCA004855,CRA004082,SAMC350962,CRX235982,"CRR279167, CRR279168, CRR279169, CRR279170","ftp://download.big.ac.cn/gsa/CRA004082/CRR279167/CRR279167.tar, ftp://download.big.ac.cn/gsa/CRA004082/CRR279168/CRR279168.tar, ftp://download.big.ac.cn/gsa/CRA004082/CRR279169/CRR279169.tar, ftp://download.big.ac.cn/gsa/CRA004082/CRR279170/CRR279170.tar",HS-4,Yes,Nipponbare,Kimura B nutrient solution + 200mM NaCl - hydroponics,14 days,Seedling,8 cm shoots + 2 cm roots,2 h,20000,10x Genomics Single Cell 3â€™ Reagent Kit v3,N.A
Wang_et_al_2021,10.1016/j.jgg.2021.06.001,"Wang, Y., Huan, Q., Li, K., & Qian, W. (2021). Single-cell transcriptome atlas of the leaf and root of rice seedlings. Journal of Genetics and Genomics, 48(10), 881–898. https://doi.org/10.1016/j.jgg.2021.06.001",Oryza sativa,PRJCA004855,CRA004082,SAMC350963,CRX235983,"CRR279171, CRR279172, CRR279173, CRR279174","ftp://download.big.ac.cn/gsa/CRA004082/CRR279171/CRR279171.tar, ftp://download.big.ac.cn/gsa/CRA004082/CRR279172/CRR279172.tar, ftp://download.big.ac.cn/gsa/CRA004082/CRR279173/CRR279173.tar, ftp://download.big.ac.cn/gsa/CRA004082/CRR279174/CRR279174.tar",ID-4,Yes,Nipponbare,Kimura B nutrient solution without Fe-EDTA - hydroponics,14 days,Seedling,8 cm shoots + 2 cm roots,2 h,20000,10x Genomics Single Cell 3â€™ Reagent Kit v3,N.A
Zhu_et_al_2025,10.1038/s41586-025-08941-z,"Zhu, M., Hsu, C.-W., Peralta Ogorek, L. L., Taylor, I. W., La Cavera, S., Oliveira, D. M., Verma, L., Mehra, P., Mijar, M., Sadanandom, A., Perez-Cota, F., Boerjan, W., Nolan, T. M., Bennett, M. J., Benfey, P. N., & Pandey, B. K. (2025). Single-cell transcriptomics reveal how root tissues adapt to soil stress. Nature, 642(8068), 721–729. https://doi.org/10.1038/s41586-025-08941-z",Oryza sativa,PRJNA1055099,GSE251706,GSM7986279,SRX22985894,"SRR27308641, SRR27308642",,sc_7,Yes,X.kitaake,Yoshida's media + 0.15% gellan gum,2 day,root tip,1 cm,2.5 h,16000,10x Genomics Single Cell 3â€™ Reagent Kit v3,N.A
Zhu_et_al_2025,10.1038/s41586-025-08941-z,"Zhu, M., Hsu, C.-W., Peralta Ogorek, L. L., Taylor, I. W., La Cavera, S., Oliveira, D. M., Verma, L., Mehra, P., Mijar, M., Sadanandom, A., Perez-Cota, F., Boerjan, W., Nolan, T. M., Bennett, M. J., Benfey, P. N., & Pandey, B. K. (2025). Single-cell transcriptomics reveal how root tissues adapt to soil stress. Nature, 642(8068), 721–729. https://doi.org/10.1038/s41586-025-08941-z",Oryza sativa,PRJNA1055099,GSE251706,GSM7986280,SRX22985895,"SRR27308639, SRR27308640",,sc_108,Yes,X.kitaake,Yoshida's media + 0.15% gellan gum,4 day,root tip,1 cm,2.5 h,16000,10x Genomics Single Cell 3â€™ Reagent Kit v3.1,N.A
Zhu_et_al_2025,10.1038/s41586-025-08941-z,"Zhu, M., Hsu, C.-W., Peralta Ogorek, L. L., Taylor, I. W., La Cavera, S., Oliveira, D. M., Verma, L., Mehra, P., Mijar, M., Sadanandom, A., Perez-Cota, F., Boerjan, W., Nolan, T. M., Bennett, M. J., Benfey, P. N., & Pandey, B. K. (2025). Single-cell transcriptomics reveal how root tissues adapt to soil stress. Nature, 642(8068), 721–729. https://doi.org/10.1038/s41586-025-08941-z",Oryza sativa,PRJNA1055099,GSE251706,GSM7986281,SRX22985896,"SRR27308637, SRR27308638",,sc_109,Yes,X.kitaake,Yoshida's media + 0.15% gellan gum,4 day,root tip,1 cm,2.5 h,16000,10x Genomics Single Cell 3â€™ Reagent Kit v3.1,N.A
Zhu_et_al_2025,10.1038/s41586-025-08941-z,"Zhu, M., Hsu, C.-W., Peralta Ogorek, L. L., Taylor, I. W., La Cavera, S., Oliveira, D. M., Verma, L., Mehra, P., Mijar, M., Sadanandom, A., Perez-Cota, F., Boerjan, W., Nolan, T. M., Bennett, M. J., Benfey, P. N., & Pandey, B. K. (2025). Single-cell transcriptomics reveal how root tissues adapt to soil stress. Nature, 642(8068), 721–729. https://doi.org/10.1038/s41586-025-08941-z",Oryza sativa,PRJNA1055099,GSE251706,GSM7986282,SRX22985897,"SRR27308635, SRR27308636",,sc_115,Yes,X.kitaake,Yoshida's media + 0.15% gellan gum,3 day,root tip,1 cm,2.5 h,16000,10x Genomics Single Cell 3â€™ Reagent Kit v3.1,N.A
Zhu_et_al_2025,10.1038/s41586-025-08941-z,"Zhu, M., Hsu, C.-W., Peralta Ogorek, L. L., Taylor, I. W., La Cavera, S., Oliveira, D. M., Verma, L., Mehra, P., Mijar, M., Sadanandom, A., Perez-Cota, F., Boerjan, W., Nolan, T. M., Bennett, M. J., Benfey, P. N., & Pandey, B. K. (2025). Single-cell transcriptomics reveal how root tissues adapt to soil stress. Nature, 642(8068), 721–729. https://doi.org/10.1038/s41586-025-08941-z",Oryza sativa,PRJNA1055099,GSE251706,GSM7986283,SRX22985898,"SRR27308633, SRR27308634",,sc_116,Yes,X.kitaake,Yoshida's media + 0.15% gellan gum,3 day,root tip,1 cm,2.5 h,16000,10x Genomics Single Cell 3â€™ Reagent Kit v3.1,N.A
Zhu_et_al_2025,10.1038/s41586-025-08941-z,"Zhu, M., Hsu, C.-W., Peralta Ogorek, L. L., Taylor, I. W., La Cavera, S., Oliveira, D. M., Verma, L., Mehra, P., Mijar, M., Sadanandom, A., Perez-Cota, F., Boerjan, W., Nolan, T. M., Bennett, M. J., Benfey, P. N., & Pandey, B. K. (2025). Single-cell transcriptomics reveal how root tissues adapt to soil stress. Nature, 642(8068), 721–729. https://doi.org/10.1038/s41586-025-08941-z",Oryza sativa,PRJNA1055099,GSE251706,GSM7986284,SRX22985899,"SRR27308631, SRR27308632",,sc_192,Yes,X.kitaake,Yoshida's media + 0.15% gellan gum,4 day,root tip,1 cm,2.5 h,16000,10x Genomics Single Cell 3â€™ Reagent Kit v3.1,N.A
Zhu_et_al_2025,10.1038/s41586-025-08941-z,"Zhu, M., Hsu, C.-W., Peralta Ogorek, L. L., Taylor, I. W., La Cavera, S., Oliveira, D. M., Verma, L., Mehra, P., Mijar, M., Sadanandom, A., Perez-Cota, F., Boerjan, W., Nolan, T. M., Bennett, M. J., Benfey, P. N., & Pandey, B. K. (2025). Single-cell transcriptomics reveal how root tissues adapt to soil stress. Nature, 642(8068), 721–729. https://doi.org/10.1038/s41586-025-08941-z",Oryza sativa,PRJNA1055099,GSE251706,GSM7986285,SRX22985900,"SRR27308629, SRR27308630",,sc_193,Yes,X.kitaake,Yoshida's media + 0.15% gellan gum,4 day,root tip,1 cm,2.5 h,16000,10x Genomics Single Cell 3â€™ Reagent Kit v3.1,N.A
Zhu_et_al_2025,10.1038/s41586-025-08941-z,"Zhu, M., Hsu, C.-W., Peralta Ogorek, L. L., Taylor, I. W., La Cavera, S., Oliveira, D. M., Verma, L., Mehra, P., Mijar, M., Sadanandom, A., Perez-Cota, F., Boerjan, W., Nolan, T. M., Bennett, M. J., Benfey, P. N., & Pandey, B. K. (2025). Single-cell transcriptomics reveal how root tissues adapt to soil stress. Nature, 642(8068), 721–729. https://doi.org/10.1038/s41586-025-08941-z",Oryza sativa,PRJNA1055099,GSE251706,GSM7986286,SRX22985901,"SRR27308627, SRR27308628",,sc_194,Yes,X.kitaake,Yoshida's media + 0.15% gellan gum,4 day,root tip,1 cm,2.5 h,16000,10x Genomics Single Cell 3â€™ Reagent Kit v3.1,N.A
Zhu_et_al_2025,10.1038/s41586-025-08941-z,"Zhu, M., Hsu, C.-W., Peralta Ogorek, L. L., Taylor, I. W., La Cavera, S., Oliveira, D. M., Verma, L., Mehra, P., Mijar, M., Sadanandom, A., Perez-Cota, F., Boerjan, W., Nolan, T. M., Bennett, M. J., Benfey, P. N., & Pandey, B. K. (2025). Single-cell transcriptomics reveal how root tissues adapt to soil stress. Nature, 642(8068), 721–729. https://doi.org/10.1038/s41586-025-08941-z",Oryza sativa,PRJNA1055099,GSE251706,GSM7986287,SRX22985902,"SRR27308625, SRR27308626",,sc_195,Yes,X.kitaake,Yoshida's media + 0.15% gellan gum,4 day,root tip,1 cm,2.5 h,16000,10x Genomics Single Cell 3â€™ Reagent Kit v3.1,N.A
Zhu_et_al_2025,10.1038/s41586-025-08941-z,"Zhu, M., Hsu, C.-W., Peralta Ogorek, L. L., Taylor, I. W., La Cavera, S., Oliveira, D. M., Verma, L., Mehra, P., Mijar, M., Sadanandom, A., Perez-Cota, F., Boerjan, W., Nolan, T. M., Bennett, M. J., Benfey, P. N., & Pandey, B. K. (2025). Single-cell transcriptomics reveal how root tissues adapt to soil stress. Nature, 642(8068), 721–729. https://doi.org/10.1038/s41586-025-08941-z",Oryza sativa,PRJNA1055099,GSE251706,GSM7986288,SRX22985903,"SRR27308623, SRR27308624",,sc_196,Yes,X.kitaake,Yoshida's media + 0.15% gellan gum,4 day,root tip,1 cm,2.5 h,16000,10x Genomics Single Cell 3â€™ Reagent Kit v3.1,N.A
